Player,NBA_Country,Salary,Age
Anthony Tolliver,USA,3290000,32
Anthony Davis,USA,23775506,24
Anthony Brown,USA,0,25
Ante Zizic,Croatia,1645200,21
Andrew Wiggins,Canada,7574322,22
Andrew White,USA,0,24
Andrew Harrison,USA,1312611,23
Andrew Bogut,Australia,2328652,33
Andre Roberson,USA,9259259,26
Andre Iguodala,USA,14814815,34
Andre Drummond,USA,23775506,24
Amir Johnson,USA,11000000,30
Allen Crabbe,USA,19332500,25
Alfonzo McKinnie,USA,815615,25
Al-Farouq Aminu,USA,7319035,27
Alex Poythress,USA,778668,24
Alex Len,Ukraine,4187599,24
Alex Caruso,USA,0,23
Alex Abrines,Spain,5725000,24
Alec Peters,USA,0,22
Alec Burks,USA,10845506,26
Alan Williams,USA,6000000,25
Al Jefferson,USA,9769821,33
Al Horford,Dominican Rep...,27734405,31
Adreian Payne,USA,0,26
Abdel Nader,Egypt,1167333,24
Aaron Harrison,USA,83129,23
Aaron Gordon,USA,5504420,22
Aaron Brooks,USA,2116955,33
